I.D.	Sex	Birth Season	Left-Ear	Right-Ear	Earnotches	New Group	Notes
50I	F	1998	011	011	011-011	F	
69I	M	1998	001	111	001-111	MM	
77I	M	1998	101	001	101-001	V	
78I	F	1998	000	100	000-100	V	ripped bottom/up left ear
81I	F	1998	010	000	010-000	S	
88I	F	1998	000	001	000-001	F	
93I	F	1998	100	101	100-101	R	missing top part of right ear
00J	F	1998	111	101	111-101	F	
03J	F	1998	010	001	010-001	F	ripped left ear
27J	M	1998	001	100	001-100	KK	
28J	F	1998	000	010	000-010	F	Visits MM and OO
30J	F	1998	100	000	100-000	V	hole on right ear
43J	F	1998	000	110	000-110	F	golden monkey
44J	F	1998	000	011	000-011	F	
51J	M	1999	000	100	000-100	KK	
55J	F	1999	010	000	010-000	KK	
61J	F	1999	010	100	010-100	F	
76J	F	1999	101	111	101-111	KK	
84J	M	1999	011	101	011-101	F	Pinoccio
98J	F	1999	000	001	000-001	V	
01K	M	1999	001	000	001-000	R	
17K	M	1999	000	010	000-010	R	
21K	F	1999	000	011	000-011	MM	
56K	M	1999	100	110	100-110	KK	
74K	F	1999	011	101	011-101	S	
87K	F	1999	011	110	011-110	F	left ear looks like one big upper notch
89K	F	1999	110	010	110-010	R	
98K	M	1999	011	111	011-111	V	missing most of right ear
07L	F	1999	010	001	010-001	R	
17L	M	1999	101	011	101-011	MM	
25L	M	2000	100	000	100-000	R	
30L	M	2000	110	000	110-000	F	
31L	F	2000	011	000	011-000	V	
39L	M	2000	100	011	100-011	R	
40L	F	2000	100	100	100-100	F	
42L	F	2000	101	010	101-010	F	
48L	M	2000	010	010	010-010	S	
49L	M	2000	001	001	001-001	MM	"small extra ""rip"" over left bottom notch"
76L	F	2000	111	011	111-011	R	
82L	F	2000	001	010	001-010	F	floppy left ear
83L	M	2000	000	100	000-100	R	
99L	M	2000	011	100	011-100	KK	
03N	M	2000	101	010	101-010	S	
04N	F	2000	101	001	101-001	F	
13N	M	2000	110	110	110-110	R	cleft lip
21N	F	2000	001	011	001-011	HH	
27N	M	2000	010	110	010-110	KK	
34N	F	2000	110	111	110-111	F	deep notch on right ear
35N	F	2000	011	111	011-111	F	
37N	M	2000	111	011	111-011	R	
41N	M	2000	000	111	000-111	R	
43N	M	2000	001	010	001-010	HH	
46N	M	2000	000	001	000-001	R	
48N	F	2000	010	000	010-000	R	
53N	M	2000	011	000	011-000	S	
54N	F	2000	010	100	010-100	R	goggles
88N	F	2000	010	110	010-110	S	Small crest of hair
00O	F	2000	111	101	111-101	F	
06O	M	2000	000	010	000-010	V	
12O	M	2000	000	011	000-011	V	
15O	F	2000	010	100	010-100	R	
36O	F	2001	001	000	001-000	HH	looks like 101-000
69O	F	2001	001	011	001-011	R	
81O	M	2001	001	111	001-111	V	
91O	M	2001	001	010	001-010	V	
93O	F	2001	000	010	000-010	KK	
94O	M	2001	000	001	000-001	HH	Looks like 001-001
25P	F	2001	011	101	011-101	KK	
37P	F	2001	111	100	111-100	R	
43P	M	2001	110	111	110-111	F	Crest
50P	M	2001	000	111	000-111	F	hunchback
52P	F	2001	001	010	001-010	NN	
60P	F	2001	000	011	000-011	F	
64P	F	2001	001	100	001-100	F	
90P	F	2002	011	100	011-100	MM	
01R	F	2002	001	001	001-001	V	broken septum
02R	M	2002	011	110	011-110	R	
10R	M	2002	101	101	101-101	R	
16R	M	2002	001	110	001-110	KK	
22R	M	2002	100	111	100-111	MM	
25R	M	2002	110	111	110-111	F	
55R	F	2002	101	010	101-010	HH	
56R	F	2002	101	001	101-001	HH	missing first two fingers on left hand
60R	F	2002	101	111	101-111	KK	
61R	M	2002	010	010	010-010	V	
62R	F	2002	001	001	001-001	KK	
93R	M	2002	000	111	000-111	R	Small crest of hair
97R	F	2002	000	010	000-010	S	
16S	F	2002	101	010	101-010	HH	
20S	F	2002	001	101	001-101	HH	
31S	M	2002	101	011	101-011	R	
32S	F	2002	101	101	101-101	F	
36S	M	2002	011	001	011-001	F	
50S	F	2003	011	000	011-000	F	
62S	F	2003	101	001	101-001	HH	
64S	M	2003	010	101	010-101	KK	
73S	M	2003	000	000	000-000	R	
74S	F	2003	011	101	011-101	F	
77S	F	2003	101	101	101-101	HH	
80S	F	2003	011	010	011-010	HH	missing top half left ear
94S	F	2003	111	110	111-110	HH	
04T	M	2003	000	001	000-001	NN	
19T	M	2003	100	011	100-011	KK	"Looks like 100-111, Left ear droops a little bit at top"
33T	M	2003	011	011	011-011	NN	short tail
42T	M	2003	011	001	011-001	F	
44T	M	2003	001	110	001-110	R	
51T	F	2003	010	111	010-111	R	
57T	F	2003	111	111	111-111	S	
60T	M	2003	000	111	000-111	F	
70T	F	2003	000	011	000-011	S	
72T	M	2003	011	000	011-000	S	
74T	F	2003	001	100	001-100	KK	
78T	F	2003	100	110	100-110	OO	
80T	M	2003	100	011	100-011	F	
85T	F	2004	000	100	000-100	V	
88T	M	2004	100	000	100-000	F	
90T	F	2004	001	000	001-000	V	
93T	F	2004	110	000	110-000	V	
96T	M	2004	001	100	001-100	S	
98T	F	2004	100	001	100-001	F	lopsided face
00V	F	2004	100	110	100-110	V	
24V	F	2004	011	010	011-010	KK	
26V	F	2004	110	001	110-001	R	cataract left eye; missing outside half left ear
29V	M	2004	010	110	010-110	OO	
30V	M	2004	111	100	111-100	HH	
31V	F	2004	111	010	111-010	R	
33V	F	2004	100	111	100-111	R	
36V	M	2004	110	111	110-111	HH	
37V	F	2004	011	111	011-111	KK	
43V	M	2004	000	111	000-111	F	
44V	F	2004	010	001	010-001	KK	
48V	F	2004	000	001	000-001	HH	
49V	F	2004	100	000	100-000	KK	
51V	F	2004	001	000	001-000	KK	
55V	F	2004	011	000	011-000	F	
60V	F	2004	110	100	110-100	R	
62V	F	2004	011	100	011-100	F	
63V	F	2004	100	011	100-011	F	
68V	F	2004	100	101	100-101	F	
73V	M	2004	001	001	001-001	V	
77V	F	2004	011	011	011-011	R	
82V	F	2004	101	101	101-101	S	
85V	F	2004	011	010	011-010	R	
88V	M	2004	001	110	001-110	S	
91V	F	2004	111	100	111-100	R	
95V	F	2004	010	111	010-111	R	
97V	M	2004	110	111	110-111	HH	Right ear looks like one big notch
98V	F	2004	011	111	011-111	S	
99V	M	2004	111	110	111-110	NN	
03Z	F	2004	111	000	111-000	HH	
04Z	M	2004	000	111	000-111	F	
09Z	F	2004	000	001	000-001	R	
11Z	M	2004	010	000	010-000	S	
12Z	M	2004	001	000	001-000	F	
14Z	F	2004	000	011	000-011	R	
16Z	F	2004	011	000	011-000	R	
18Z	M	2004	001	100	001-100	F	
29Z	F	2004	100	101	100-101	OO	
30Z	M	2004	010	101	010-101	R	
32Z	M	2004	101	111	101-111	HH	
34Z	F	2004	001	001	001-001	MM	
36Z	F	2004	110	011	110-011	F	Looks like 110-111
38Z	F	2004	011	011	011-011	S	
39Z	F	2004	110	101	110-101	HH	
40Z	F	2004	011	101	011-101	V	
45Z	F	2005	000	001	000-001	V	droopy right ear
46Z	M	2005	100	000	100-000	KK	
47Z	F	2005	010	000	010-000	V	
49Z	M	2005	000	110	000-110	V	
51Z	F	2005	110	000	110-000	V	
52Z	F	2005	011	000	011-000	V	
53Z	F	2005	010	100	010-100	V	
65Z	F	2005	100	101	100-101	HH	
67Z	M	2005	001	101	001-101	S	
73Z	M	2005	110	110	110-110	KK	
74Z	M	2005	011	011	011-011	R	
76Z	M	2005	011	101	011-101	HH	
79Z	F	2005	101	101	101-101	F	
82Z	F	2005	011	010	011-010	S	
83Z	F	2005	011	001	011-001	KK	
86Z	F	2005	010	110	010-110	KK	
93Z	F	2005	110	111	110-111	F	
94Z	M	2005	011	111	011-111	R	
96Z	M	2005	111	011	111-011	F	
97Z	M	2005	111	111	111-111	KK	
98Z	M	2005	111	101	111-101	KK	
99Z	F	2005	111	000	111-000	R	
0A2	F	2005	001	010	001-010	R	
0A4	F	2005	000	010	000-010	F	
0A9	F	2005	000	110	000-110	F	
1A0	M	2005	000	011	000-011	V	golden monkey; crest
1A3	F	2005	010	100	010-100	F	crest
1A4	F	2005	001	100	001-100	HH	
1A6	M	2005	100	001	100-001	R	
2A2	F	2005	101	100	101-100	NN	
2A5	F	2005	100	101	100-101	NN	
2A7	F	2005	001	101	001-101	F	
2A8	F	2005	101	111	101-111	F	
3A2	F	2005	110	011	110-011	KK	
3A4	F	2005	011	011	011-011	HH	
3A6	M	2005	011	101	011-101	R	
3A7	F	2005	101	110	101-110	R	
3A9	F	2005	101	101	101-101	HH	
4A0	F	2005	010	011	010-011	R	
4A5	F	2005	001	110	001-110	R	
4A9	F	2005	111	010	111-010	S	
5A0	F	2005	111	001	111-001	S	
5A1	F	2005	100	111	100-111	S	
6A1	M	2005	000	111	000-111	KK	
6A3	F	2005	001	010	001-010	R	"looks like 011-010; tattoo looks like ""8A3"""
6A4	F	2005	000	100	000-100	R	
6A8	M	2005	010	000	010-000	R	
6A9	M	2005	001	000	001-000	KK	
7A2	M	2005	110	000	110-000	R	
7A6	F	2005	100	010	100-010	R	
7A8	F	2005	110	100	110-100	R	
7A9	F	2005	100	110	100-110	S	left wrist broken/bent
8A3	F	2005	101	100	101-100	R	
8A5	F	2005	101	001	101-001	R	
8A7	M	2005	010	101	010-101	F	"rip on top of right ear, looks like 110-101"
8A9	M	2005	100	111	100-111	R	Looks like 101-111
9A2	M	2005	011	110	011-110	HH	
9A4	F	2005	110	110	110-110	F	
0B4	F	2005	011	001	011-001	R	
0B5	F	2005	110	001	110-001	R	
0B6	F	2005	001	110	001-110	KK	
0B8	M	2005	010	110	010-110	F	
0B9	F	2005	111	100	111-100	HH	
1B0	F	2005	111	010	111-010	V	
1B1	M	2005	111	001	111-001	NN	
1B3	F	2005	010	111	010-111	V	
1B4	F	2006	000	100	000-100	S	
1B7	M	2006	100	000	100-000	HH	Looks like a bat
2B1	F	2006	000	011	000-011	S	
2B4	F	2006	010	100	010-100	S	
3B1	F	2006	100	011	100-011	R	
3B8	F	2006	001	101	001-101	S	
3B9	M	2006	101	111	101-111	F	
4B2	F	2006	011	110	011-110	R	
5B0	M	2006	101	101	101-101	F	
5B2	M	2006	001	011	001-011	R	
5B4	F	2006	011	001	011-001	HH	
5B6	F	2006	001	110	001-110	HH	
5B7	M	2006	110	010	110-010	MM	crest
6B0	F	2006	111	010	111-010	R	
6B2	M	2006	100	111	100-111	F	
6B4	F	2006	001	111	001-111	HH	right ear ripped from bottom-up
6B8	M	2006	111	011	111-011	KK	
7B2	M	2006	000	111	000-111	F	
7B3	M	2006	010	001	010-001	X	
7B7	F	2006	000	001	000-001	F	
8B0	F	2006	001	000	001-000	F	
8B3	M	2006	110	000	110-000	S	
8B5	M	2006	010	100	010-100	F	
0C3	M	2006	011	110	011-110	MM	
0C6	F	2006	011	011	011-011	F	
0C7	M	2006	110	101	110-101	KK	
0C8	F	2006	011	101	011-101	MM	
0C9	M	2006	101	110	101-110	KK	
1C0	F	2006	101	011	101-011	F	
1C2	M	2006	010	011	010-011	F	
1C5	F	2006	011	001	011-001	KK	
1C7	F	2006	001	110	001-110	KK	
2C0	F	2006	111	100	111-100	HH	
2C3	F	2006	100	111	100-111	KK	
2C4	F	2006	010	111	010-111	KK	
2C6	M	2006	110	111	110-111	S	
2C7	F	2006	011	111	011-111	HH	
2C8	F	2006	111	110	111-110	R	
2C9	M	2006	111	011	111-011	F	
3C3	F	2006	000	111	000-111	F	
4C1	F	2006	001	000	001-000	F	
4C2	F	2006	000	110	000-110	F	
4C3	M	2006	000	011	000-011	V	Loos like 100-011
4C5	F	2006	011	000	011-000	V	
4C6	M	2006	010	100	010-100	V	
4C9	F	2006	100	001	100-001	V	
5C0	F	2006	110	100	110-100	F	
5C3	M	2006	100	011	100-011	KK	
5C4	F	2006	100	100	100-100	R	
5C6	F	2006	101	010	101-010	V	Droopy left ear
6C0	F	2006	001	101	001-101	F	
6C2	F	2006	010	010	010-010	KK	
6C3	F	2006	001	001	001-001	OO	
6C5	F	2006	110	011	110-011	MM	
6C6	M	2006	110	110	110-110	R	
6C9	M	2006	011	101	011-101	R	
7C0	F	2006	101	110	101-110	F	
7C4	F	2006	001	011	001-011	V	
7C8	F	2007	100	000	100-000	R	
8C0	M	2007	001	000	001-000	F	
8C2	M	2007	000	011	000-011	F	
8C3	M	2007	110	000	110-000	KK	
8C7	F	2007	100	010	100-010	R	golden monkey
8C9	M	2007	110	100	110-100	F	
9C1	F	2007	011	100	011-100	V	
9C2	F	2007	100	011	100-011	F	
9C5	F	2007	101	010	101-010	KK	
9C6	M	2007	101	001	101-001	HH	
9C7	F	2007	100	101	100-101	S	
9C8	M	2007	010	101	010-101	KK	
0D3	M	2007	011	110	011-110	V	
1D4	M	2007	011	010	011-010	V	golden monkey
1D5	M	2007	011	001	011-001	R	
2D0	M	2007	111	100	111-100	KK	
2D1	F	2007	111	010	111-010	S	
2D4	F	2007	010	111	010-111	S	
2D5	M	2007	001	111	001-111	HH	
2D7	M	2007	011	111	011-111	S	
3D1	F	2007	111	101	111-101	S	crest
3D3	M	2007	000	111	000-111	S	
3D4	F	2007	010	001	010-001	S	
3D9	F	2007	100	000	100-000	V	
4D3	M	2007	000	011	000-011	V	
4D5	F	2007	011	000	011-000	R	
4D8	F	2007	100	010	100-010	KK	
5D1	M	2007	100	110	100-110	MM	
5D2	M	2007	011	100	011-100	F	crest
5D4	F	2007	100	100	100-100	HH	
5D9	F	2007	010	101	010-101	MM	
6D4	F	2007	011	110	011-110	KK	
6D6	F	2007	110	110	110-110	KK	
6D8	F	2007	110	101	110-101	R	
6D9	F	2007	011	101	011-101	KK	
7D2	M	2007	101	101	101-101	S	
7D7	M	2007	110	001	110-001	OO	
7D8	F	2007	001	110	001-110	F	
8D2	M	2007	111	010	111-010	KK	
8D3	M	2007	111	001	111-001	V	
8D6	M	2007	001	111	001-111	R	Crest
8D8	M	2007	011	111	011-111	R	
9D1	M	2007	111	111	111-111	F	
9D7	M	2007	000	100	000-100	V	bottom lip droops
9D8	F	2007	000	010	000-010	F	
0E1	F	2007	010	000	010-000	R	
0E2	F	2007	001	000	001-000	R	
0E3	M	2007	000	110	000-110	F	
0E8	M	2007	001	100	001-100	R	
1E0	F	2007	100	001	100-001	MM	
1E2	F	2007	100	110	100-110	KK	
1E3	F	2007	011	100	011-100	OO	
1E5	M	2007	100	100	100-100	R	
1E6	F	2007	101	100	101-100	R	
1E7	F	2007	101	010	101-010	R	
2E1	F	2007	001	101	001-101	MM	
2E4	F	2007	001	001	001-001	V	
2E8	F	2007	011	011	011-011	HH	scar on left side upper lip
2E9	F	2007	110	101	110-101	HH	
3E1	M	2007	101	110	101-110	MM	
3E2	F	2007	101	011	101-011	F	golden monkey
3E4	M	2007	010	011	010-011	F	
3E7	F	2007	011	001	011-001	OO	
4E0	F	2007	110	010	110-010	R	
4E2	M	2008	000	010	000-010	V	
5E1	M	2008	010	100	010-100	F	
5E3	M	2008	100	010	100-010	V	
5E4	M	2008	100	001	100-001	V	
5E6	M	2008	100	110	100-110	OO	
5E8	F	2008	100	011	100-011	V	
6E6	M	2008	001	101	001-101	V	
7E0	F	2008	011	110	011-110	HH	droopy bottom lip; left ear looks like one big notch
7E1	M	2008	110	011	110-011	F	
7E3	F	2008	011	011	011-011	HH	
7E4	M	2008	110	101	110-101	MM	
8E2	F	2008	011	001	011-001	HH	ripped left ear
8E8	F	2008	111	010	111-010	F	broken nose septum
9E3	M	2008	110	111	110-111	F	
9E5	M	2008	111	110	111-110	F	
9E6	M	2008	111	011	111-011	F	
9E7	M	2008	111	111	111-111	V	
9E8	F	2008	111	101	111-101	V	
0F0	F	2008	000	111	000-111	V	Cleft lip
0F6	F	2008	100	000	100-000	R	
0F7	M	2008	010	000	010-000	R	
1F0	M	2008	000	011	000-011	S	
1F2	M	2008	011	000	011-000	F	
1F4	F	2008	001	100	001-100	R	
1F9	M	2008	011	100	011-100	R	
2F0	F	2008	100	011	100-011	R	
2F2	F	2008	101	100	101-100	KK	
2F3	F	2008	101	010	101-010	S	
2F8	M	2008	101	111	101-111	HH	
2F9	M	2008	010	010	010-010	X	
3F4	F	2008	011	011	011-011	R	
3F5	F	2008	110	101	110-101	KK	
3F6	F	2008	011	101	011-101	R	
3F7	F	2008	101	110	101-110	KK	
3F8	F	2008	101	011	101-011	R	
4F1	F	2008	001	011	001-011	KK	
4F5	F	2008	001	110	001-110	R	
4F8	F	2008	111	100	111-100	R	
5F7	F	2008	111	011	111-011	R	missing outside half left ear
6F0	M	2008	111	000	111-000	S	
6F1	M	2008	000	111	000-111	R	
6F2	F	2008	010	001	010-001	F	
6F6	M	2008	000	001	000-001	KK	
7F0	F	2008	000	110	000-110	KK	
7F2	F	2008	110	000	110-000	R	
7F5	M	2008	001	100	001-100	KK	golden monkey
7F7	F	2008	100	001	100-001	R	
7F9	F	2008	100	110	100-110	R	
8F0	F	2008	011	100	011-100	R	
8F3	F	2008	101	100	101-100	F	
8F8	F	2008	001	101	001-101	R	
9F5	M	2008	011	011	011-011	S	
9F9	M	2008	101	011	101-011	S	
0G1	M	2008	010	011	010-011	R	
0G2	F	2008	001	011	001-011	R	
0G3	F	2008	011	010	011-010	HH	
0G5	F	2008	110	001	110-001	F	missing outside top half right ear
0G8	M	2008	010	110	010-110	R	
0G9	M	2009	000	100	000-100	V	
1G0	F	2009	000	010	000-010	V	
1G1	F	2009	000	001	000-001	V	
1G2	F	2009	100	000	100-000	V	
1G4	F	2009	001	000	001-000	V	
1G6	F	2009	000	011	000-011	V	
1G8	M	2009	011	000	011-000	V	
1G9	M	2009	010	100	010-100	V	
2G0	M	2009	001	100	001-100	V	crest
2G2	F	2009	100	001	100-001	V	
2G3	F	2009	110	100	110-100	V	
2G4	F	2009	100	110	100-110	V	
2G7	M	2009	100	100	100-100	V	
2G8	F	2009	101	100	101-100	R	
3G0	F	2009	101	001	101-001	R	
3G2	F	2009	010	101	010-101	S	
3G3	F	2009	001	101	001-101	KK	
4G0	F	2009	011	011	011-011	HH	
4G1	M	2009	110	101	110-101	R	
4G3	F	2009	101	110	101-110	HH	
4G6	M	2009	010	011	010-011	F	
4G8	M	2009	011	010	011-010	F	
4G9	M	2009	011	001	011-001	HH	
5G2	M	2009	110	010	110-010	R	
5G3	M	2009	010	110	010-110	MM	
5G7	M	2009	100	111	100-111	KK	
5G8	M	2009	010	111	010-111	KK	
5G9	F	2009	001	111	001-111	OO	
7G1	M	2009	000	010	000-010	R	
7G2	M	2009	000	001	000-001	R	
7G6	F	2009	000	110	000-110	S	
7G9	M	2009	011	000	011-000	S	
9G3	F	2009	010	101	010-101	F	
0H3	M	2009	011	101	011-101	KK	
0H4	F	2009	101	110	101-110	HH	
0H8	M	2009	001	011	001-011	MM	
0H9	M	2009	011	010	011-010	R	
1H6	F	2009	111	010	111-010	OO	
1H9	M	2009	010	111	010-111	F	
2H3	F	2009	111	110	111-110	F	
2H6	M	2009	111	101	111-101	R	
3H0	F	2009	001	010	001-010	V	
3H4	F	2009	100	000	100-000	R	
3H6	F	2009	001	000	001-000	R	
4H0	F	2009	011	000	011-000	R	
4H1	F	2009	010	100	010-100	R	
4H2	M	2009	001	100	001-100	R	
4H3	F	2009	100	010	100-010	S	
4H7	F	2009	011	100	011-100	S	
5H1	M	2009	101	010	101-010	S	
5H4	F	2009	010	101	010-101	KK	
5H6	F	2009	101	111	101-111	S	
5H7	M	2009	010	010	010-010	NN	
5H9	M	2009	011	110	011-110	NN	
6H2	M	2009	011	011	011-011	R	
6H6	F	2009	101	011	101-011	HH	
6H9	M	2009	001	011	001-011	HH	
7H0	M	2009	110	010	110-010	F	
7H3	M	2009	111	010	111-010	KK	
7H8	F	2009	110	110	110-110	F	
7H9	M	2009	011	111	011-111	F	
8H0	M	2009	111	110	111-110	MM	
8H1	F	2009	111	011	111-011	MM	crest
8H2	M	2009	111	111	111-111	R	
8H7	F	2009	001	010	001-010	HH	
8H8	F	2009	000	100	000-100	F	"Crest, left ear droops"
9H2	M	2009	010	000	010-000	KK	
9H7	F	2009	011	000	011-000	F	
9H9	F	2009	001	100	001-100	KK	
0I1	M	2009	100	001	100-001	HH	
0I5	F	2009	100	011	100-011	F	golden monkey
0I6	F	2009	100	100	100-100	F	
0I7	F	2009	101	100	101-100	S	
0I9	M	2010	000	010	000-010	V	
1I4	M	2010	000	110	000-110	V	
1I5	F	2010	000	011	000-011	V	
1I6	F	2010	110	000	110-000	V	
1I7	F	2010	011	000	011-000	V	
2I0	M	2010	100	010	100-010	V	
2I1	M	2010	100	001	100-001	F	
2I2	M	2010	110	100	110-100	V	
2I3	F	2010	100	110	100-110	V	
2I4	M	2010	011	100	011-100	F	
3I2	M	2010	001	101	001-101	R	
3I3	M	2010	101	111	101-111	R	
3I4	F	2010	010	010	010-010	S	
3I5	M	2010	001	001	001-001	R	
3I6	M	2010	011	110	011-110	NN	
3I9	M	2010	011	011	011-011	R	
4I1	F	2010	011	101	011-101	R	
4I3	F	2010	101	011	101-011	S	
4I4	F	2010	101	101	101-101	R	
4I5	F	2010	010	011	010-011	R	
4I6	F	2010	001	011	001-011	R	"ripped upper lip, right side"
4I8	M	2010	011	001	011-001	R	
4I9	F	2010	110	001	110-001	HH	
5I0	M	2010	001	110	001-110	MM	
5I1	M	2010	110	010	110-010	HH	
5I3	M	2010	111	100	111-100	HH	
5I5	M	2010	111	001	111-001	MM	
5I9	F	2010	110	111	110-111	HH	
6I0	M	2010	011	111	011-111	HH	
6I1	M	2010	111	110	111-110	R	
6I2	M	2010	111	011	111-011	KK	
6I4	M	2010	111	101	111-101	HH	
6I6	M	2010	000	111	000-111	HH	crest
6I7	M	2010	010	001	010-001	F	
6I9	M	2010	000	100	000-100	F	
7I4	F	2010	001	000	001-000	S	
7I5	M	2010	000	110	000-110	R	
7I7	M	2010	110	000	110-000	S	
7I8	F	2010	011	000	011-000	KK	
8I6	F	2010	100	011	100-011	S	
8I9	F	2010	101	010	101-010	KK	
9I0	M	2010	101	001	101-001	S	
9I2	M	2010	010	101	010-101	S	
9I3	F	2010	001	101	001-101	S	
9I4	M	2010	101	111	101-111	KK	crest
9I5	F	2010	010	010	010-010	HH	
9I6	F	2010	001	001	001-001	F	
9I7	F	2010	011	110	011-110	HH	
9I8	F	2010	110	011	110-011	KK	
9I9	M	2010	110	110	110-110	HH	
0J0	M	2010	011	011	011-011	R	
0J1	M	2010	110	101	110-101	R	
0J4	M	2010	101	011	101-011	R	
0J5	F	2010	101	101	101-101	KK	
0J7	F	2010	001	011	001-011	S	
0J8	M	2010	011	010	011-010	KK	
0J9	M	2010	011	001	011-001	S	
1J0	M	2010	110	001	110-001	R	
1J2	M	2010	110	010	110-010	KK	
1J3	M	2010	010	110	010-110	KK	
1J4	F	2010	111	100	111-100	KK	
1J7	F	2010	100	111	100-111	F	
1J8	M	2010	010	111	010-111	F	
2J0	M	2010	110	111	110-111	KK	
2J2	F	2010	111	110	111-110	F	
2J3	M	2010	111	011	111-011	F	
2J4	M	2010	111	111	111-111	F	
2J5	F	2010	111	101	111-101	R	
2J6	M	2010	111	000	111-000	F	
2J7	F	2010	000	111	000-111	KK	
2J8	F	2010	010	001	010-001	F	
2J9	M	2010	001	010	001-010	R	"Chicken Wing, missing right arm"
3J2	M	2010	000	001	000-001	R	
3J3	F	2010	100	000	100-000	R	
3J4	F	2010	010	000	010-000	S	
3J5	F	2010	001	000	001-000	R	
3J6	M	2010	000	110	000-110	V	
3J7	M	2010	000	011	000-011	V	
3J8	M	2010	110	000	110-000	S	
4J0	M	2010	010	100	010-100	HH	
4J2	M	2010	100	010	100-010	R	
4J3	F	2010	100	001	100-001	HH	
4J4	F	2010	110	100	110-100	V	
4J6	F	2010	011	100	011-100	HH	
5J1	M	2010	101	001	101-001	F	
5J3	M	2010	010	101	010-101	R	
5J4	M	2010	001	101	001-101	F	
5J5	M	2010	101	111	101-111	HH	
5J6	F	2010	010	010	010-010	HH	
5J7	M	2010	001	001	001-001	F	
6J0	F	2010	110	110	110-110	MM	
6J2	M	2010	110	101	110-101	F	
6J3	M	2010	011	101	011-101	S	
6J4	F	2010	101	110	101-110	S	
6J5	M	2010	101	011	101-011	S	
6J7	M	2010	010	011	010-011	KK	
7J0	M	2010	011	001	011-001	S	
7J5	M	2010	111	100	111-100	KK	
7J6	M	2010	111	010	111-010	R	
7J7	F	2010	111	001	111-001	KK	
7J8	F	2010	100	111	100-111	F	
8J0	F	2010	001	111	001-111	MM	
8J3	M	2010	111	110	111-110	OO	
8J6	F	2010	111	101	111-101	F	
8J8	F	2010	000	111	000-111	F	
8J9	F	2010	010	001	010-001	F	
9J3	M	2010	000	001	000-001	S	
9J5	F	2010	010	000	010-000	R	
0K0	F	2010	011	000	011-000	V	
0K1	M	2010	010	100	010-100	V	
0K2	F	2010	001	100	001-100	F	
0K7	F	2010	011	100	011-100	F	
0K8	F	2010	100	011	100-011	KK	
